# Houzs-ERP merged-PR branches deleted 2026-08-12
# Every one had a MERGED pull request, so its content is on main.
# Restore from the PR page's 'Restore branch' button, or:
#   git push origin <sha>:refs/heads/<branch>
#
sha	branch
2f51cd8a51714c44d497e618631fe8c87a7e2d29	chore/multicompany-scope-audit
79d2a120fd440282bafb2f6bff4417ebb3233afb	chore/numbering-guard
75cfb3bffc5d691ce5c48680df51892a2aabe21b	chore/ocr-learning-check
6f5d60a92272b55b3b026af811b0a1f54c232e23	chore/over-receipt-data
2ab4d8a2b71d45b882b3549d9ef9cb5594a6f1f1	chore/parser-v2
df8c95fcb30fb390a04f99537350b84dc3d75f8f	chore/parser-v5
b2f18cc226dd61efbc7723469242ee3592d2fc3b	chore/phantom-lot-planner
8ec4bff498adc8b1dbba13693521ec4db4a40de1	chore/pin-vite-dev-port-5173
15e97d45e38f23b74b73afbf5934e4317fb7ca99	chore/po-grouping-analysis
2eb1e8a0219d31fcbf04c2971788af7f3cc54c8b	chore/po-import
c5d15b80343d737b705427e9477f19550122f60b	chore/po-so-link-check
325151c7d410113c55c1b007139d068e4d1410b7	chore/reactivate-venues
60465b658f50082255529028a62178233bd6a361	chore/recompute-2990-so-allocation
899014c3eae9f0813d43e42f0937edd028b204c8	chore/reconcile-sku
fff3808f170be249cc143fb965135a51c35583a8	chore/reconcile-sofa-batch-lens
f87220f57457222514f7b65803397b020b80f804	chore/refresh-ac-po-export
e632e714c40997ef1dca6383147da8dd50b7894e	chore/refresh-ac-so-export
7e5aa2e51272c6446c1a8350690a3b890bddf71b	chore/refresh-fallback
9b6fce7a8cec3f3523113bda6ca72e849f1b2e81	chore/refresh-hero-image-stale-comments
a4bfdf7d44f0961aacc95ebcbacff19fd4c89ca9	chore/regen-route-matrix-unblock
0129c48e28718d666d331ee3662e337cd8a2eb87	chore/scan-reports-downstream
4d4cb7371743f313e3b0e1bd55b3f35c5dc5a97e	chore/scm-endpoint-drift-fix
b9d204bc5a5a97313ec0d3473d4a5378e34615bd	chore/scm-schema-blueprint
d115743ee3a470d65936fa288f78ae1deef54816	chore/seed-fleet-workflow
16c380948344c6154b55d02e73eca8c30abb332e	chore/self-host-fonts
5c406e6f1175ead8e32e3d062aeaea4f0ffd45a9	chore/sku-align-export
1b0f53a1a9e368b19f868789ee88835356eb5aa8	chore/sku-align-export2
f5464e46c8cdc7436e0ed2f9155279a4f2ad7734	chore/so-dates
611ddc742033b4c59294a05d89c1e2419ff8d447	chore/so-fix-consistency
c89d525ffd6cd47f4e2cd3e21631b78a3a303bf3	chore/so-import-structured
8b4817492d4ee134fdd70623ebd64b9edbfb2e1f	chore/so-staff-cols
d792b101f77301b471240240b95fd82644c5ce5b	chore/so-staffid
f62d97652ec0a07f676512b334bbca0a801f2c9c	chore/sofa-bedframe-completeness-audit
a1d991f04cd90e100167a4a7f569a73188e5bde7	chore/sofa-chain-alignment-audit
1d73d357ab9653f8ea53f11d104ed9ba680cc412	chore/sofa-compartment-field-measure
f1ce5a1aaeac9447f309756fce520bf6156b9005	chore/sofa-diag-enhance
5546c7ac5addd63d1edb87c7b193de08ea2278d6	chore/specials-final-vocabulary
3a11b1b396779c52f136d7413b1125b1cbf54913	chore/specials-list-categories
3e8d20ff8f152e6f810863eab1b890fe20182c0c	chore/specials-merge-and-altay-leg
1284008e08dff423145c43c40f5795f569348b31	chore/status-disagreement-why
cbffe197678a6206c24fb840e86e24f31f6b37ed	chore/stock-balance-status-reconcile
1449ed3cafb829e4aaefe5d689794377ff6b8dcb	chore/tidy-transportation-nav
c773155d98bce64e9debed9fd930b1a407350bf7	chore/truth-scope
ce6aaa6d9739cd9127c9a5419c5260e92d917cf3	chore/truth-status
95a4838e3c7b9a7a9cd082cd4a854c962df2eefd	chore/uncosted-cogs-detection
2cf4a3b39ce8a1d9e84f37c0e6063f7676e7769d	chore/url-standardization
0cb8cae0fa902c0a0c8df7a061b48d8061f13e1e	chore/v6-combined
e3f284b06553130803b5f26a49f4436515e14808	chore/venue-canon
d2ddae96182fc52c260328f19a0ae44f76fa25e5	chore/verify-ac-master-align
c199e5ba2656d75e44531ff23195aeea5d10ffa8	chore/verify-do-cancel-workflow
787d0099c2408e27025dbb343c914cc725e99472	chore/verify-specials-and-ocr
8831c219d2510d647391b01ebc68e567dd738370	chore/verify-specials-shape
1edf8f78139fd89cb306c0b0b1e715fa243c1991	chore/version-banner-polish
f943fa059eb1b7c16df43e6384f67bf0a8d157a0	chore/warehouse-check
c886f8ab5fc2392d624b2f94027a89966b83a2c3	chore/wire-vite-maps-key
00634665d753c85cd4eb19b7585f5d0be2a3eae2	ci/company2-vs-2990-audit
ac6b5069bd2ab18a1197be1c4c03950890ecb311	ci/deploy-window-and-ancestor-guard
00bc90af010ef4640b9575df124f23d9dddabf36	ci/frontend-release-consistency
a372d1db50511a86d3ef34f48789fdcdad28e0e6	ci/merge-queue-0801
d101677eb76a29343c73d8ddda3feb4278c0e8fd	ci/sample-phone-check
45a7afdd5dabf050f8ce67b7d0dd9dd36cc04306	ci/soak-gate-selfserve
35d84d64084a303d2abaad6be02a89641cea5f76	ci/user-check-readonly
1a1b6516d84e02aec2d42789dd250305b03b8a52	ci/verify-so-cas
7222affeb9d834ab0af4f2b94f74e89e83abc922	ci/who-are-cn-suppliers
6cd0e0a350d4ed2337ee09ef208099feaae54db4	copy/subtitle-tweak
d3847bb079280b906e838011a4f6f535b0872658	data/ac-outstanding-v2
89790ec4037b21009383b553d1d64b0d6fa3924e	data/supplier-backfill-autocount
57f121af37ebdbf62f3e803f5580744b448b2397	data/supplier-backfill-v2
5b2c45e8174e33b04ae35e5bb8975482a3d0bd5d	design/2990-mirror-full
683589670345e3665b653ffe553b14b92c665189	diag/pwp-price-missing
a15bdf6da27e67e3c581e4d57231f6ce138b4cdc	diag/role-permissions
e928d4107608af0912a47959a60f254ba186f4f4	diag/user-delete-triggers
1fb2d2d4816c82de8de76567a5a4dd49ce4dc040	docs/2990-cutover-plan
f3d411d611a0a21654dd364d50f163a5e500191c	docs/add-company-design
073a7f58f8a22e3fee7bacb12af98a6ac3375392	docs/app-store-metadata
3216bde42f6a3a25dc5406d4b5a3c5316478768b	docs/autocount-cutover-ledger
485cc236db817cac2b3e55c7987838dfbda15865	docs/autocount-golive-handoff
6ffe89d2b86ab922e3a3772facd4be6ad1684f5f	docs/autocount-integration-map
8ef3e6be577d1588b49b0e544defbd62399c4928	docs/autocount-sync-coverage
d6ca4a03f0b6f3ad0684a79462b595269a67610f	docs/branch-protection-gap
8a77fac8b654290d2532418d390f758bc147dd6c	docs/bug-history-2026-07-22-batch2
66a112b7ac20fe84e9ba65b9433cd5747ef6b0ad	docs/bug-history-collisions
10b07f83124eca6bb263fa73ccc151146bb70607	docs/bughistory-0128
509a1b73e708843bc37cbf49444f21a8fab617cc	docs/bughistory-company-switch
081f744ddff06cbdf2a3ae16d165c150d33b2c0b	docs/cancelled-line-observed
2c08d6e25d65967617f191d12b7ed2c582627af2	docs/close-cancel-bug-record
7357addb5b29a905c973a4c04c899bea6346e4a9	docs/coe-data-integrity
762dbb1046b4cdd970dc55bffed66a04d9796583	docs/coe-reconcile-status
b7dc5e8e58e96578e857a3ce99de9bd6ac9e0c7e	docs/deploy-collapse-coe
fe5102069b46a70e8b3339853359a74f41048484	docs/design-backfill
87d29fa44b10231c514f9659395beabfca952fee	docs/design-sync
4f20b192d1c7d04d5e2b4e8bebae3de334b69688	docs/fabric-ledger-2026-08-11
87b6a29e5401babc1691510033e3cd9d27719dac	docs/golive-readiness
5012fe12f0671452c6449cc9242532c4e7b8c530	docs/handoff-2026-07-22
5379ada522f6160a8683edd97fd18f972337ed5e	docs/handoff-2026-08-05
139f9c98e0c43f90ca04555e5457b0d2df6a21b2	docs/handoff-variant-key
b14bd720f6d74b7653ea8efa9ea29c2305c32a1a	docs/hookka-parity
0c4275babc8fe3312f700a4e65964e678b4ea4f6	docs/hydraulic-and-charging-evidence
db3f9e2f57e64201d468dfd3ca00410b515549b3	docs/ledger-2026-08-10
7fc86b0ca977b7d4690c0ef36d39c8cb04b8b4fa	docs/migration-record
dc9bb7da970eb543131e769d5e51e1413e91a8fc	docs/mockups-approved
c215e0e55709fb9a71bd8e79e4e5a2876be6f365	docs/module-sales-order
36ea4a4c46a78d58c044a7893491567c7a99a6e9	docs/mts-rationale
1eee6b760f7fbac7648f4675776698a8872d691c	docs/owner-decisions-run-evidence
4cc39c14ee64380b334fb2c70b4a52c81b9c931d	docs/p0-route-matrices
f52825e8da49d8f95362c2c23017ed5956535d8d	docs/perf-optimization-plan
f6eb808978a988e42faafcf09c4f8972f6fdef24	docs/pms-fair-pnl-reconcile-done
adf5052da98ed920d5bb1308ec0e8e479bf9b1dc	docs/pms-fair-pnl-rework-handoff
0f8371d27c38b6b19d3960e67261786c1d01d191	docs/pms-scope-and-pnl-fixes
df69d1fd667b48927757bb6c8b55f3fc6abaa196	docs/r1-zero-orphan-result
f62bda203614c97f2b24ceb7db6e885c3b23c17b	docs/repair-result
afacbc19f1960e272414e9f7fb86c5524d689598	docs/server-snapshot-playbook
d4248d437acb267648455321d9f6eb65234285eb	docs/sheet-sync-delivery-link
47370dc545865dfa63995212f5314cd0cb00e6c4	docs/so-000814-missing-sofa-line
1185aea9e157e982dd5410c0471277de98a5e8e1	docs/sofa-import-handoff
48580eea8feda50a8b64853acd5906c48141017d	docs/stage2-spec-status
21d02a6b1118fe43988cab80aaa0c224e19edee7	feat/2990-live-outbox
2b05a94fed6705638473616b090523d2509d8cf7	feat/aa1-freeze-matrix
ce716e5dc2a8a15181bf79da50406340f2049640	feat/ac-combined-final
200a4b34354fd38154c11c49105e6e17c5727523	feat/ac-ensure-masters
a03766371092ed52622832c5e2bbeb341808a4fd	feat/ac-erp-line-identity-v2
f2e464c855ba1fb58dbf68bb5987eaab4cec8928	feat/ac-erp-numbering
f495c7d76e00a0c596375975ecce858e31ebe697	feat/ac-line-identity
2bda2ab98cf1761feec67cca6ead723c4561505c	feat/ac-line-keys
36bc906fbaeef80fa6006b162a83c75ba1bd9212	feat/ac-open-every-master
fba8e8452a78321d0bd6728bd01be6615af0ac66	feat/ac-reconcile
28ba40cebde253ce2acf8f6921dbf5d29d09480c	feat/ac-stock-import
11993b58c2803413d240743c2d4fb9dd838c0afe	feat/ac-sync-service
34905bdcb354ef8f23e21ebdfc872c148f0b8a49	feat/ac-writeback-sofa-collapse
1bd2475393f6a49214e294bfe7da5c29de2f29cd	feat/ac-writeback-wiring
0427ea9b3370ec75fb4254d85850c0cfcb1bf222	feat/ac-writeback-wiring-v2
a52a00df8148859eeaea0a809f5b03f52857e644	feat/accessory-assignment-collapse
33fe2656d029492c2c108fbb066c7180a248acdc	feat/add-missing-sofa-fabrics
df0f6547d8ef9219b4be87e6c9e2e31b306a687a	feat/address-mvp2
5c4f19a0083d3bc5296e1f4f12b08ddd2286eb28	feat/address-reverse-resolve
c78be202aca41b7dbe777e85291b8745372d626a	feat/agent-console-skeleton
0ba686ef6f12278408c16c5fc4cb358d20658ad5	feat/agent-decision-outcomes
93fa12388a18a2d021a500d5f2c39050a307f94b	feat/agent-governance
b952a5ac2a33e109af594b9ffeac19e9fab11b17	feat/all-filters-multiselect
45fc19265d47029f2222d8d448e0431b5b6257ce	feat/all-supplier-combos
d513f8d2609de97ae1dcd8686a64afbcd3d344ac	feat/amendment-bound-po-jump
f9974847f9b63247915646b3bcab0ee1d9bc5ba0	feat/amendment-delivery-fields
48cece0a4ace4d97141f295a22fd1f7c4812d801	feat/amendment-mirror
a55c982890dc5c45aac7542f36309c08a4001554	feat/amendment-type-routing
be50bd1e09f257c11cf1984c6d73348083b55670	feat/amendment-writeback
7b7f108b3a84d407ed6ce8710e966f83dc700923	feat/announcement-audience-rules
856b150148b17c404e7bd8054446806c1fe87473	feat/announcement-company-target
efac1d8e73752d3d6c440700823eceb58678fda1	feat/announcement-popup-media
208a5f3deb925c903eb7ac8cc3513324127064f7	feat/announcement-skip-limit
d6ffa2c0f0fe69a781a5eaa611ab077c6179b3ed	feat/announcements-scaling
a89f9200629ea084160659d126ca85183fbf1714	feat/apply-sofa-compartment-corrections
2dc1ad3282af75927a20fa5be54c80e1240500b6	feat/approval-file-versions
9109accdb0311522622dea4bce14bec180337aa2	feat/approve-reject-toggle
3f356058dda2f27601c3f00c13e37d834aaa5b75	feat/ar-reconciliation
f24a850988912bedc16247a253f3cea8702c0276	feat/ar-release-gate
9ee8e893d48d5a28dfc67892333f29ac36097a96	feat/archived-only-list
1eb02c1fbcb3975e818e440d71aaed31357d29f3	feat/arrangement-filter-sort
7b5c997c70312de433c9c0664e66dcf8cad3038a	feat/assigned-so-inline-date
2aecb4e4fc62c361d9e9ac606655b080ccc0b33a	feat/assigned-vs-free-dead-stock
acbb9c69e7cd86a131ec885a135d9acfecb516cb	feat/assistant-deny-supervisor
18d2000f86c405b3608563757f71214d7a659f39	feat/assistant-draggable-launcher
de2e4c2cfdc32e24bde912fe35b34df6d0fddd4a	feat/assistant-exclude-field-crew
761cc9432cce760919d2f81c5f14093e9bce9353	feat/assistant-open
fe9ec195ed44e069bf58d7437b8fb57a6bf08b32	feat/assistant-role-scoping
06cfa9f80addf86af1ad3e6503fa2d60b8b3a992	feat/assr-auto-open-and-supplier-notes
15d007012889c5224f73da5eb57ecdde7142da8a	feat/assr-category-filter-0804
b61a27dfce4b86d912eb0e589eb2d5935cbc94d8	feat/assr-co-assignee
c723201aebeac5277f850f0831d49cd2b207ec69	feat/assr-copy-refresh
d7141d719e583305e76a8ee9d89a7313cf501f87	feat/assr-create-case-so-search
509f63bfe033669b4378a816cded3d2fd73ee23b	feat/assr-create-case-so-typeahead-ui
54d35e633ac796369b48f330ed2af52cc119d8d7	feat/assr-defect-paste-and-drop
3289c1730ecb4b52d04654d0aafba48c448d1fba	feat/assr-detail-3col-overview
4117c1ac27e083d4761bc0671774050e90452173	feat/assr-detail-redesign-pr1-tracker-summary
9eb8f5305b5da59fbfa270513981f75b9854cea9	feat/assr-detail-redesign-pr2-right-rail
621af1792d4f299454a2799bf67ed5fba756df08	feat/assr-detail-redesign-pr3-stage-accordion
6add1427e1c63a2b20f54501b4c1ab21f65d3801	feat/assr-detail-redesign-pr4-flow-filter
435f2289c7ed327c91c002c6be683e8e53dc70fc	feat/assr-do-so-transfer-link
3bcbe6c67b8fd2217bc09fa6a4f563b7fd256290	feat/assr-form-intake-webhook
ca12afe39f9452e36f0cdb894433f0af0beb5221	feat/assr-historical-photo-migration
2d5a7f5bf56932d63aed9723995f939081e2fc22	feat/assr-list-columns
6ed1a133fedf25e2270c34ec0ba8ceba72f10ec6	feat/assr-list-default-order
413a230c0f6ad0a55e5d171ac62cde842c92de7c	feat/assr-list-ref-no
4675e224ef3c8e4b111a28c76df85c18217fa42f	feat/assr-list-selectall-filters
a74d3853848d943f3052adc6f36a8cdebd88b1d8	feat/assr-migration-fuzzy-match
efbe4b1506f06ff235b0d8c0ef613402ace1ad76	feat/assr-mobile
ec772cfc8b30e0f72d987219362b2ed925861c1e	feat/assr-mobile-company-scope
dea701841c88db305ec167cdade22639932e6a59	feat/assr-multi-category-0804
79b9476d964cc471a1d9e40b5d7a138b0786a3e3	feat/assr-my-cases-sales-portal
9591a78392471ceea1381005220f67aca34f97f7	feat/assr-notify
0db2e5619e2db1c5432c8b6887c3dad2c6297548	feat/assr-print-boxed-grid
daea0effa87181c376b2f8ab07e3f322707f3a70	feat/assr-print-copies-refresh
d3253540e3ef0d187cc96cc7a0fd55cc2dde40d9	feat/assr-print-customer-boxed
ab39c9ab0a8bfc94f950f877b7d0ca457cf01b58	feat/assr-product-categories-0804
70b2295173dc2fe1681559325ceb55e21f104e53	feat/assr-qc-issue-inspection-date
c4e7f6c613859508ca89d107a731da6d8b5d5f4b	feat/assr-qc-issue-inspection-photos
0879537f2663c97dfd7e3125ef5c1c81deecb60f	feat/assr-sales-portal-link
aed93a09e31b46bbb10a969b31a192514be39fbc	feat/assr-sales-portal-nudge-office
7d32cfa22c3548fe6387537f8a3bbfb7ec6ac500	feat/assr-so-existing-cases
11ad3bbf5e4562ddce162a2c4e9af76b541d7924	feat/assr-solution-qc-refine
7d2166dad17e4e9da39520bc56bd2d03f53bb5b0	feat/assr-stage-body-refine
dce47600ed022257ec6ad3c58c1b58f59f3bde27	feat/assr-supplier-inspection-stage
7da3a8c59a51439d500c3f0d6f5330913f84acb5	feat/assr-upload-drop-paste
f6817d6054a589b3c1c68c3c74aba2ae4273ea67	feat/auth-flows-and-cs-removal
047c7f1072a368a6d434b806aa80b8f6b3b9f011	feat/auto-update-banner
10a02836f5c2255130b05409151cb0e4f97ca28e	feat/b6-soline-photo-header
5b465c95b9fd8c420c8639648d1ebb1bb74be774	feat/backend-driven-permissions
456fd0b4d953d39d8709f40216c15061259b228c	feat/bedframe-branding
05f98e7987f8d2264ef55af869f240a97cbb6ab1	feat/bench-sides
ee5aa0051241756ad01aabdee2e2ef31b0e8f772	feat/bind-po-on-ship-and-mrp-deduct
5132de602debd4f61381305b20cbc5e6b43551d6	feat/bind-shadow-evidence
11ad938b7f67c4aac491971e2ffffa015f3f0d1e	feat/brand-hard-delete
f3414429d37f8db867755ab6b74bc3229bd37d10	feat/brand-logos
712d25eb26e27ac9ceee99683b1b66b1db6e8278	feat/branding-auto-derive
42227aa9c5dcea4161511220f873648793825a0c	feat/branding-backfill-script
64c87ed85869146eedbd1fb98965373290721f88	feat/branding-cs-contact-0807
b4a643f94000e60169798619033150bd731062f4	feat/branding-logo-pdf
28479cb7c6f73778dc7f1b2efc2493b354a73083	feat/branding-print-logo-0806
2ce63809041e1ad593634f04ec8728cb4468f8e0	feat/bulk-login-emails
b1102ec00901d1b4067511722481d30c66e37c3b	feat/calendar-and-syshealth
c38fe921213eefb4caa1cc642e1ecb8d09993193	feat/card-file-remove
bf44d61ff8b80268b1014812f0ff757757b2d792	feat/category-setup
0bdd3d7f2e7069be2d6090862452a1272a6fc637	feat/category-tabs
7127fbb13fca4d36a84db9f84535bb067b9b5a7b	feat/client-error-reporting
564e70bf1348156b27b02bd8779d461ea509402a	feat/close-case-everywhere
7b576c50cb9a6d7ac51fcef115395fa83297fa6c	feat/colour-alias-2
b91b4bad7b1ac34add08d23cd5ed1a6c02010309	feat/colour-typo-tolerance
88a032dd7c78eae5f94a6a560452111daaf5e06a	feat/columns-drawer-redesign-0801
f28a851b19c7792f1b54c74a61ffdeb69d4a5208	feat/commission-rulings
3b76b74c876eddb1d8948b9211ba9e7a3c755bab	feat/company-address-structured
cff2cb2cbeb9ea3a00419ad21b63a948785fe5b0	feat/compartment-corrections-follow-links
aa188c47aecbd54e669e555754c82b25f9eb6785	feat/complete-amendment-step
8bd1e1a6aed6b6ae9e00f97ff0ac399b736f32b5	feat/config-governance
3d65dbf136d885e09b3a2b6c12805ae8c15b5082	feat/connect-service-token
09f13f4f6bb0b3f0e854f2dad41f79b2824ff4e3	feat/consignment-fe-pagination
fd86d574e4dfa54550664a96b618166f8fd75213	feat/consignment-pagination
823ba192b49f7c760d83af0a8a4f19943fa0b314	feat/console-middle-3s-clean
268a033376437cf772eee306844589d6b946d63c	feat/console-rename
7578aa55bed83e40d1731b0fa90f5888e3a0d47c	feat/costing-display-on
4adf9295eb57ca9b6914a684205c6afcaa6d4086	feat/costing-gap-fill-round2
5555157fab12f280ee81137347b777b16043cfbe	feat/coverage-provenance-slot
e7b2cbdee66c154780d775e9a49269f99e0d8c33	feat/creditor-in-solution
d4a8abba581214f2f3142a8f6677d6dc7ba1e8dd	feat/customer-mirror
08ff01b7746f2ec0e61733472bec0fb6d24ed88a	feat/customer-portal-header
2aa9fc3ac859eac4344dd8d69b3e26d5cd2deed5	feat/customer-portal-mobile-redesign
d2b067c85e5b57ed38e90a76cf6c80251ccb50e1	feat/customers-scm-dashboard
74e4ba8cb2c23505d04568f48d0f7696430f1c1e	feat/datagrid-layout-sync-0801
e8781b2811ef65e7854e8eb0ab80303be3d408d0	feat/datatable-2990-parity
0359099431a41a44d39542171c8007553bea5d24	feat/datatable-header-drag
7764df38c7fc4cdeaec91a6eb42b7ea0928a0cd1	feat/dead-cells-and-returns
696ea6968eed880b8591e9d0aa3d66fde7be673b	feat/defect-shukor-replace-flow
a83b62d0f60c56b4673d92fa79d7b082be5c4527	feat/delivery-arrangement-pipeline
f8622b3b3d71536d77ec6115bb589808f6640ce6	feat/delivery-maintenance-module
710f240c2e421d4a96b953f5a0d9415fbd1f2372	feat/delivery-maps-option-b
acfe4aa2cf50543079e1e8fcef722c9deb79b0d2	feat/delivery-maps-polish
48b6ffec9f9b42bb51c5f5046a02ea337241ea49	feat/delivery-pipeline-unified-ui
1b3bc8ec9b4a179086ea7c19d1d063ab8c3e3048	feat/delivery-planning-shared
ba6d036c1689b03aeeea706526a9fe9b203fb1d4	feat/desktop-rack-management
fcd8cad3e755fb76a866c1c7bfd675760ae67eaf	feat/desktop-scan-parity
c921232f45e045cef159b1962a5e8348e885281b	feat/detail-sticky-customer
feb53bd2621f0f967d8b6383b6020f11fa306a39	feat/do-batch-print
641b7b4081562bae4f9fb3bbf745cb0a011ef2b4	feat/do-committed-batch
319c5a47ba12861c1172b304861904b305f647ae	feat/do-cs-contact-fallback-0807
49a77e628a78c2ce54446d747221305f9d3eb22b	feat/do-fields-and-ref-0807
e8e9d171701efd8b47d8fbcba72b9991a6b03268	feat/do-theme-c-template-0807
46af343dcbd4d4caac74ba32165d75e663dcacfa	feat/doc-traceability-display
c885f6bfb9c947f728f7c910c6cec63cb9bddbd1	feat/doc-traceability-po-so
306b8a3604cda1e2f5e3345762629ebb0bc82c8c	feat/dp-board-union
7bb5f0ccd7ed12b5c5002e69c0d35006ab4b072e	feat/dp-column-rename-0804
b273d673d96ec77a0779d1065735d56ba983f256	feat/dp-create-form
df81b16620995ef74631b55622371747c51857a9	feat/dp-edit-cancel
3f0cc310b9c166f038d7e5d2956c5c7f6b16273e	feat/dp-jobtypes-base-0803
55d646e630348771cae00c7393ccd84b34e34731	feat/dp-lorry-service-0803
41a61ba9ab0531177fbf73ca1e68d010a7a7fafa	feat/dp-nine-entry-0803
8e5307231aa8c70b8e6a5de687e2ff25c3dcf3e0	feat/dp-orders-list-0730
54a2e547ea1436183df9ba57ec89a3e698963b8a	feat/dp-orders-route
a02e9091d0484cea6f97505e83a3a5bf2ed13414	feat/dp-orders-schema
fcd5368f0fcdebcd13a76bdffa092a84cf89f020	feat/dp-schedule-tripstop
cb600011d1dbe9917832f54c9e5572fd5ff8e79d	feat/dp-transfer-item-0803
1fb6e127c7824222cd5a6596a63fc9862bff2500	feat/draft-payment-edit-and-team-phone
2728b38ed96d33b4aa90d1428cfc0cd5364dfa52	feat/dropdown-scale-hardening
a5055aabe0cc075d0374b6c63e9d02ae9f9bc403	feat/erp-assistant
4fca11ddef897fefcd76f8156a94ae9d60e42dcd	feat/error-tracking
84734df3990f2aca566353bf6cd4cb9363222f3c	feat/export-button
31db82457d642014ff3499154e4cf0daf01ad964	feat/fabric-catalogue-seed
4030e6e4e340aebf0210ac98e5543ac089d8c6fb	feat/fabric-code-normalize
